ID;Wahlbeteil;displayValue
09101;0,860357256;0,744194736
09102;0,867829314;0,757882464
09103;0,856479593;0,737091420
09104;0,885469572;0,790196859
09105;0,84447354;0,715098071
09106;0,881367818;0,782683040
09107;0,831469896;0,691277281
09108;0,878349936;0,777154718
09109;0,858469096;0,740735901
09110;0,812560496;0,656638001
09111;0,808363726;0,648950127
09112;0,883583473;0,786741799
09113;0,907977071;0,831427334
09114;0,811948388;0,655516708
09115;0,73597275;0,516340353
09116;0,768459919;0,575852137
09117;0,772011711;0,582358505
09118;0,726323387;0,498664119
09119;0,815177423;0,661431832
09120;0,803381452;0,639823323
09121;0,809779077;0,651542845
09122;0,847369006;0,720402145
09123;0,757720841;0,556179703
09124;0,727911311;0,501572965
09125;0,82382565;0,677274130
09126;0,819978471;0,670226656
09127;0,799972796;0,633579159
09128;0,820525503;0,671228739
09129;0,818942748;0,668329361
09130;0,86000692;0,743552972
09131;0,807120241;0,646672243
09132;0,842179974;0,710896591
09133;0,872493573;0,766426710
09134;0,841560419;0,709761656
09135;0,71559633;0,479013705
09136;0,811786182;0,655219570
09137;0,750393898;0,542757806
09138;0,710875332;0,470365521
09139;0,843053563;0,712496879
09140;0,806487453;0,645513067
09141;0,831046431;0,690501554
09142;0,717192262;0,481937222
09143;0,775560776;0,588859878
09201;0,865004049;0,752706988
09202;0,82420603;0,677970931
09203;0,807516045;0,647397298
09204;0,836013851;0,699601147
09205;0,815436889;0,661907136
09206;0,772609819;0,583454152
09207;0,824418605;0,678360338
09208;0,786696277;0,609258501
09209;0,814382844;0,659976278
09210;0,821561438;0,673126422
09211;0,899492767;0,815885319
09212;0,839344411;0,705702251
09213;0,807709806;0,647752240
09214;0,806179788;0,644949469
09215;0,854673423;0,733782778
09216;0,86087247;0,745138534
09217;0,841922542;0,710425013
09218;0,792839032;0,620511138
09219;0,701583749;0,453344688
09220;0,746402242;0,535445670
09221;0,790757158;0,616697447
09222;0,754197282;0,549725054
09223;0,835696885;0,699020512
09224;0,802058818;0,637400449
09225;0,793717743;0,622120809
09226;0,830174778;0,688904812
09227;0,752569017;0,546742308
09228;0,796529477;0,627271498
09229;0,752743929;0,547062722
09230;0,801462533;0,636308142
09231;0,806984024;0,646422713
09232;0,759705158;0,559814684
09233;0,776583682;0,590733693
09234;0,806327259;0,645219614
09235;0,81373442;0,658788460
09236;0,792756333;0,620359645
09237;0,839741769;0,706430153
09238;0,704686787;0,459029004
09239;0,903252149;0,822771962
09240;0,766574651;0,572398599
09241;0,745155039;0,533160975
09301;0,866201454;0,754900460
09302;0,811202499;0,654150347
09303;0,787842402;0,611358036
09304;0,838886655;0,704863708
09305;0,848487894;0,722451786
09306;0,805317918;0,643370648
09307;0,789106866;0,613674351
09308;0,800190366;0,633977716
09309;0,80943508;0,650912692
09310;0,804155917;0,641242031
09311;0,75694818;0,554764300
