"ID","uwb3","bwb","bwb3","awk","bez","bwk","wahlbeteil","cduinkbw","linkeinkbw","spdinkbw","grueninkbw","afdinkbw","fdpinkbw","parteimens","fwinkbw","mlpdinkbw","voltinkbw"
"01100","100","011A","1A","0101","01","75","0.731413276","0.120103211","0.062926876","0.182654199","0.311957036","0.036839812","0.177173526","0.016425495","0.004765383","0.000000000","0.014619028"
"01101","101","011B","1B","0101","01","75","0.857003309","0.150124530","0.057899260","0.199270706","0.332549146","0.043070345","0.156294657","0.009954640","0.003183735","0.000497732","0.013335718"
"01102","102","011B","1B","0101","01","75","0.817178151","0.145055339","0.076657711","0.196622953","0.306975207","0.048832659","0.163713770","0.013790580","0.006898742","0.000548371","0.017710477"
"01103","103","011C","1C","0101","01","75","0.846045206","0.122376556","0.067575412","0.163471360","0.355657468","0.025517631","0.197158008","0.012040968","0.004135872","0.000500280","0.018945503"
"01104","104","011D","1D","0101","01","75","0.870130806","0.123611367","0.090379767","0.194656760","0.381810104","0.030493144","0.129964647","0.008694848","0.005579385","0.000000000","0.012360143"
"01105","105","011D","1D","0101","01","75","0.827327469","0.129481582","0.113069990","0.212270124","0.345759710","0.039926982","0.112826122","0.007091555","0.005406928","0.000000000","0.012715820"
"01106","106","011E","1E","0101","01","75","0.861536383","0.165484861","0.095192529","0.181930606","0.296984986","0.039044242","0.170384494","0.004502302","0.005040697","0.001594026","0.016511574"
"01107","107","011F","1F","0101","01","75","0.805953476","0.107458965","0.115295667","0.165840665","0.370325214","0.043483244","0.145474980","0.006023082","0.006041340","0.000000000","0.012629403"
"01108","108","011E","1E","0101","01","75","0.827026373","0.187354158","0.100948186","0.172953162","0.286530379","0.035348509","0.176927474","0.008379005","0.001909821","0.000000000","0.008301671"
"01109","109","011G","1G","0101","01","75","0.659450779","0.174523944","0.092152752","0.252221502","0.241850946","0.072014828","0.083708137","0.021020706","0.007608669","0.000000000","0.008624862"
"01110","110","011G","1G","0101","01","75","0.868362467","0.132436229","0.095920064","0.213292289","0.358371861","0.030528737","0.115688798","0.011778562","0.001444617","0.000000000","0.013385100"
"01111","111","011H","1H","0101","01","75","0.859539472","0.108105031","0.111097936","0.197636032","0.377276694","0.022643621","0.121869545","0.007811907","0.001617402","0.001124118","0.018939250"
"01112","112","011F","1F","0101","01","75","0.830406071","0.106407762","0.136100884","0.154761432","0.380385105","0.031409133","0.123386336","0.011857016","0.003618276","0.000000000","0.014948671"
"01113","113","011I","1I","0101","01","75","0.849753868","0.099420611","0.113696853","0.168164171","0.433639692","0.027595509","0.108013786","0.008648891","0.002062117","0.000000000","0.013616830"
