ID,Wahlbeteiligung,CDU,LINKE,SPD,Gruen,AfD,FDP,PMUT,FW,MLPD,Volt
01100,0.731413276,0.120103211,0.062926876,0.182654199,0.311957036,0.036839812,0.177173526,0.016425495,0.004765383,0.000000000,0.014619028
01101,0.857003309,0.150124530,0.057899260,0.199270706,0.332549146,0.043070345,0.156294657,0.009954640,0.003183735,0.000497732,0.013335718
01102,0.817178151,0.145055339,0.076657711,0.196622953,0.306975207,0.048832659,0.163713770,0.013790580,0.006898742,0.000548371,0.017710477
01103,0.846045206,0.122376556,0.067575412,0.163471360,0.355657468,0.025517631,0.197158008,0.012040968,0.004135872,0.000500280,0.018945503
01104,0.870130806,0.123611367,0.090379767,0.194656760,0.381810104,0.030493144,0.129964647,0.008694848,0.005579385,0.000000000,0.012360143
01105,0.827327469,0.129481582,0.113069990,0.212270124,0.345759710,0.039926982,0.112826122,0.007091555,0.005406928,0.000000000,0.012715820
01106,0.861536383,0.165484861,0.095192529,0.181930606,0.296984986,0.039044242,0.170384494,0.004502302,0.005040697,0.001594026,0.016511574
01107,0.805953476,0.107458965,0.115295667,0.165840665,0.370325214,0.043483244,0.145474980,0.006023082,0.006041340,0.000000000,0.012629403
01108,0.827026373,0.187354158,0.100948186,0.172953162,0.286530379,0.035348509,0.176927474,0.008379005,0.001909821,0.000000000,0.008301671
01109,0.659450779,0.174523944,0.092152752,0.252221502,0.241850946,0.072014828,0.083708137,0.021020706,0.007608669,0.000000000,0.008624862
01110,0.868362467,0.132436229,0.095920064,0.213292289,0.358371861,0.030528737,0.115688798,0.011778562,0.001444617,0.000000000,0.013385100
01111,0.859539472,0.108105031,0.111097936,0.197636032,0.377276694,0.022643621,0.121869545,0.007811907,0.001617402,0.001124118,0.018939250
01112,0.830406071,0.106407762,0.136100884,0.154761432,0.380385105,0.031409133,0.123386336,0.011857016,0.003618276,0.000000000,0.014948671
01113,0.849753868,0.099420611,0.113696853,0.168164171,0.433639692,0.027595509,0.108013786,0.008648891,0.002062117,0.000000000,0.013616830
01114,0.838792820,0.093555451,0.119086825,0.185907727,0.397893412,0.025954204,0.099059117,0.007373744,0.005345535,0.000000000,0.019677068
01115,0.801383244,0.151423828,0.130707042,0.193064929,0.259726784,0.066869383,0.114267153,0.017098567,0.001488793,0.000000000,0.010376439
01116,0.841110825,0.131376710,0.126133179,0.182421296,0.310285149,0.057936377,0.133004368,0.009374485,0.001699769,0.000000000,0.017049201
01117,0.872800022,0.104818649,0.099444817,0.163438950,0.443154937,0.025712501,0.105282821,0.005475094,0.003794514,0.000000000,0.018110265
01118,0.861411147,0.091570457,0.127806193,0.162974805,0.418867626,0.029383807,0.115342287,0.006905733,0.004178005,0.000483426,0.015175329
01119,0.889270169,0.098355043,0.121069000,0.165025994,0.432683822,0.030064844,0.104367270,0.012785871,0.003535150,0.000000000,0.010886037
01120,0.843810225,0.087077905,0.126484651,0.160476387,0.414216420,0.045946438,0.106304284,0.009224683,0.005942794,0.000509981,0.015566456
01121,0.873216128,0.091394725,0.104663774,0.177359974,0.422077417,0.032486108,0.119260485,0.008056710,0.002252379,0.000000000,0.019332648
01122,0.871178221,0.106315194,0.128228917,0.169349145,0.382370629,0.018714542,0.150021791,0.006890324,0.001122853,0.000000000,0.008846753
01123,0.850885080,0.116032021,0.095290347,0.154751208,0.412856258,0.019328209,0.150636350,0.008458707,0.002244574,0.000000000,0.013301220
01124,0.688436451,0.133849524,0.079974898,0.213202435,0.283900367,0.049669958,0.137102209,0.016239325,0.008248973,0.000000000,0.013031134
01125,0.822301704,0.117277098,0.090423686,0.172101712,0.355909118,0.029100736,0.161178589,0.012264590,0.005065286,0.000445590,0.013789225
01200,0.765653029,0.166106468,0.130878519,0.217067467,0.153300420,0.074219424,0.185772361,0.014896524,0.006271427,0.003592533,0.006534622
01201,0.790006450,0.171220657,0.122746783,0.208786572,0.166561093,0.078717452,0.178413982,0.014665596,0.003983119,0.000633440,0.007966238
01202,0.767855328,0.195106870,0.127566293,0.228903416,0.163129747,0.090337576,0.140681725,0.011853355,0.002925646,0.000908017,0.008070514
01203,0.763445546,0.181761670,0.128431552,0.236283464,0.177384450,0.074833178,0.144633972,0.007026250,0.006220192,0.001842972,0.006527139
01204,0.783923669,0.183577107,0.137480227,0.219771224,0.189804106,0.060341957,0.156293780,0.010574967,0.000821094,0.001835055,0.007461468
01205,0.724912715,0.164299736,0.170107785,0.212790327,0.190755357,0.077402897,0.110326985,0.014823965,0.001129799,0.001994220,0.004420652
